site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,decomposed,hero-wrapper,900,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,decomposed,hero-wrapper,900,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,decomposed,hero-wrapper,900,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"text-6xl md:text-9xl leading-[0.85] text-white serif mb-10 kinetic-text drop-shadow-[0_10px_30px_rgba(0,0,0,0.9)]",The Sculptureof Rest
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,decomposed,hero-wrapper,900,no,no,,button,button,button,no,no,button → button,button,dew-drop shadow-2xl,Shop Collection
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,0,decomposed,hero-wrapper,900,no,no,,button,button,button,no,no,button → button,button,px-8 py-4 border border-white/20 bg-black/20 backdrop-blur-md rounded-full text-white text-sm uppercase tracking-widest hover:bg-white/30 transition-all shadow-xl,View Catalog
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,decomposed,py-32 bg-[var(--sun-linen)] overflow-hidden,976,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Living Matter for your Interior Our pieces don't just occupy space; they evolve with it. W
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,1,decomposed,py-32 bg-[var(--sun-linen)] overflow-hidden,976,no,no,,row-cell,image-composite,media_image,no,no,"image + content overlay → native media_image + icon_box (decomposed, editable)",,,"Veridian Armchair $2,450.00 ADD"
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,decomposed,py-32 bg-white,992,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h2,text-4xl md:text-6xl text-[var(--deep-forest)] serif mb-4,Featured Pieces
https://openhero.art/api/preview?category=enterprice&slug=biophilic-architecture-interior-soul,home,2,decomposed,py-32 bg-white,992,no,no,,products,products,wc_products,no,yes,product-card grid → wc_products (configure Source to your products),,,"Moss High-Back Sofa Forest green organic linen textile. $4,200 Cedar Root Table Cedar wood"
