kind,target,evidence,suggested_fx,confidence
trace,trace#0,pinned for ~1106px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
trace,trace#1,pinned for ~1106px of scroll,gsap_motion: {effect:'pin'} or a scrollytelling Section,medium
css-animation,.kinetic-heading,"infinite keyframes 'flow' (background-position-x,background-position-y)",physics float/pulse or backgrounds module,low
hover,.debossed-volume,"transform, box-shadow change on hover",interaction: {effect:'lift'},medium
hover,.liquid-mercury,transform change on hover,interaction: {effect:'lift'},medium
