site,page,s_index,s_decision,s_class,s_height,s_over_large,s_styling_drop,s_dropped_styles,role,detected,mapped,fallback,opportunity,why,src_tag,src_class,text
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,0,decomposed,relative w-full h-[110vh] flex flex-col items-center justify-center overflow-hidden,990,no,no,,video,video,media_video,no,no,video → media_video (self-hosted),,,
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,0,decomposed,relative w-full h-[110vh] flex flex-col items-center justify-center overflow-hidden,990,no,no,,html,html,simple,no,no,html → code_block (unmapped),,,
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,0,decomposed,relative w-full h-[110vh] flex flex-col items-center justify-center overflow-hidden,990,no,no,,text,text,text_block,no,no,text → text_block,span,font-sans text-[10px] tracking-[0.4em] uppercase text-white,Memphis & Its Necropolis
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,0,decomposed,relative w-full h-[110vh] flex flex-col items-center justify-center overflow-hidden,990,no,no,,heading,heading,special_heading,no,no,heading → special_heading,h1,"font-serif text-6xl md:text-8xl lg:text-[7.5rem] leading-[0.9] text-center sun-bleed reveal-up active delay-100 relative z-10 filter [filter:drop-shadow(0_0_15px_rgba(0,0,0,1))_drop-shadow(0_0_50px_rgba(0,0,0,0.9))]",The Great Pyramids of Giza
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,1,decomposed,relative z-20 py-24 px-4 md:px-8 lg:px-16 bg-sandstone,892,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,Architectural Telemetry Dataset: Khufu Complex
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,1,decomposed,relative z-20 py-24 px-4 md:px-8 lg:px-16 bg-sandstone,892,no,no,,row-cell,text,special_heading,no,no,text cell (overline/subtitle) → special_heading,,,SCAN_01 Structural Topography Engineered with microscopic precision. The original highly p
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,1,decomposed,relative z-20 py-24 px-4 md:px-8 lg:px-16 bg-sandstone,892,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,True North Error margin: 0.05° Cosmic alignment targeting the constellation of Orion.
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,1,decomposed,relative z-20 py-24 px-4 md:px-8 lg:px-16 bg-sandstone,892,no,no,,row-cell,text,text_block,no,no,unrecognized text cell → text_block,,,20 °C Internal Temp Constant thermal mass regardless of desert fluctuations.
https://openhero.art/api/preview?category=enterprice&slug=memphis-and-its-necropolis,home,1,decomposed,relative z-20 py-24 px-4 md:px-8 lg:px-16 bg-sandstone,892,no,no,,row-cell,card,icon_box,no,no,card → icon_box,,,"Khufu’s Solar Ship Sealed in a bedrock pit, this intact vessel was engineered to carry the"
